Application_Number,y_test,prediction
173776,336200.0,339107.0805409664
125070,452000.0,460691.9477139449
102265,222000.0,226698.0854207782
146795,237000.0,236989.18495469965
12478,595850.0,575296.9578062213
43776,682000.0,680720.3567971403
38747,391250.0,401959.9960530785
115695,498000.0,500525.9411328133
6517,450000.0,447869.32086160505
123365,797000.0,776136.6760674004
127337,562500.0,551464.2823006273
111649,397000.0,402128.68483640015
118373,237000.0,233386.19007073232
157547,447000.0,441664.19864850404
34600,602000.0,596104.3870114833
150989,533560.0,540142.7680459903
142886,322000.0,320966.977108292
55145,494000.0,489896.0756828409
56334,311800.0,312004.7505361554
89765,917000.0,891304.7793772537
142928,602000.0,598172.5866933608
179368,352000.0,355051.23631830956
73513,562230.0,559405.6132743822
5279,247000.0,243540.95080802665
55654,641000.0,660383.0548968886
9171,742000.0,740448.7545676866
72999,592000.0,592103.8150031406
22343,562000.0,564414.8241018741
53268,598700.0,595838.4213640258
112989,235000.0,235216.55767696974
95799,127000.0,130643.08220882245
163695,497000.0,491864.9767882158
115366,302000.0,300576.61706154654
16737,1819680.0,1727860.8967982822
56882,257000.0,264935.65597702045
125082,1242000.0,1192323.1749802204
109529,470800.0,470959.9622079936
50758,590000.0,605255.1654908046
160146,946888.0,945303.9974102171
55520,342000.0,344296.8013717672
151038,580000.0,606115.009043123
136635,457000.0,458126.3476952023
85016,320800.0,318822.8363308816
73547,497000.0,504401.15640113124
174999,717000.0,714115.3262437216
67777,97000.0,102311.17073620451
134940,479800.0,477054.6728753111
147993,604000.0,606785.0289208095
111140,464000.0,468334.0776690591
36357,366800.0,370046.35059900285
177778,462000.0,469391.42011566914
101508,519200.0,518308.0165381034
9339,327000.0,317786.2928673448
104374,1402000.0,1331024.3158355602
164357,529700.0,527820.4489344142
172282,794000.0,795827.8188054851
133379,357000.0,359068.9864817208
179324,682000.0,685387.0575859253
84613,384700.0,375441.13408838783
66753,395000.0,389079.5526861476
19607,797354.0,807503.8332253504
121804,502000.0,503468.61258788453
37954,591800.0,596322.967876752
10649,407000.0,405353.7076856259
52748,322000.0,320931.74154749187
91626,1002000.0,993939.4329624025
97567,1712000.0,1687871.1487273022
3818,377000.0,374692.0329724787
2606,292000.0,293410.40025540616
43152,300000.0,300009.00137946405
75205,471207.0,482801.2776319963
83046,1302000.0,1326339.7445395496
31773,142000.0,142114.91905487044
58857,497000.0,488034.5712023623
5218,127000.0,126249.280265788
60158,302000.0,306857.71435456915
99097,597000.0,613758.3629089864
150715,564300.0,575780.2986862622
34799,678900.0,667700.1860857417
25619,347000.0,339800.0407191077
72754,1152000.0,1207054.2763389826
15453,800800.0,802705.8782204785
45980,152000.0,151917.3587265217
124930,902000.0,905338.0975969789
105275,297000.0,303999.089617457
31240,681932.0,687528.0390217319
64601,262000.0,262256.9732683312
22991,207000.0,215243.04756762015
150400,501000.0,501449.7636010876
21453,297000.0,303212.99661738554
64589,257000.0,247031.87184017882
7384,810621.0,802588.6936199341
60242,522000.0,496024.5918565184
35748,501000.0,498464.36483447906
143314,102000.0,107410.92305036046
100386,717800.0,716029.7244297516
54971,382000.0,395572.1017280626
169404,301888.0,301780.9206949861
90767,297000.0,302308.2097815425
151079,427000.0,428836.20324015117
61817,902000.0,852092.1878719664
24426,352000.0,347696.22386851016
8396,282000.0,284575.91092142434
94721,910320.0,909042.4071248651
95076,302000.0,299814.0540952984
71479,297000.0,297571.23920751293
153710,157000.0,151857.94695922997
72844,92000.0,95221.69483391936
141979,737000.0,732462.0054638863
118886,302000.0,300544.69395115704
67946,992000.0,989257.6206532031
92148,776000.0,803996.2896196594
36733,397000.0,408321.73362635233
22088,458000.0,458448.9537367651
131854,793800.0,806195.7565114782
17876,532250.0,528545.2638891508
91899,295000.0,310320.96369470423
86065,752000.0,761356.8414612142
168681,202000.0,202915.6546386457
103702,302000.0,293423.84016915085
184106,332000.0,326857.48512967024
88631,477000.0,477087.943775756
16613,685140.0,655541.661530332
5650,897000.0,890429.7242678474
81249,477000.0,479238.9956006196
32232,531000.0,534191.5338100344
63417,1297000.0,1263403.3459245765
1565,647000.0,667690.4418903033
61005,465900.0,464927.3569355817
17319,297000.0,306705.78298315
43070,310900.0,313104.4182717225
143321,526450.0,530938.0574733804
168504,502000.0,503469.85193460505
66483,222000.0,223725.32513303024
58023,327000.0,324460.52546426695
74291,425888.0,426574.80800165643
29182,497000.0,500022.04616522754
4459,217000.0,211469.01260611153
175456,736000.0,733470.8594648108
41394,622000.0,626064.3548615198
142158,1456800.0,1461942.4379758826
25936,122000.0,123373.5733481361
126288,470880.0,480735.2896364181
71189,447000.0,435074.6313623243
42004,390000.0,388867.43490839365
2849,277000.0,277224.2349082828
23934,493000.0,488911.4499579314
127215,375000.0,373031.62678236904
18644,162000.0,160514.40271712898
18603,548800.0,539845.9989589709
163104,842000.0,875682.9542054927
138579,369600.0,379662.606009785
5697,860000.0,861744.841820539
63015,747890.0,749437.6558721293
26288,122000.0,121024.75820840552
4454,510000.0,511587.8827720166
175269,712000.0,700233.7482658846
59800,1332830.0,1396190.5394816035
98029,337000.0,340492.25772635546
2876,302000.0,309658.9490570349
39293,568800.0,567782.5248569055
159701,786888.0,793472.1007250354
60868,590000.0,581424.8655159262
122743,222000.0,213661.22012555724
126711,268000.0,266313.10233824176
132730,402000.0,403395.66218528716
30046,222000.0,216219.90089639206
83571,477000.0,474943.1352255208
47029,352000.0,362997.4265369306
173129,1217000.0,1236072.824844626
166815,197000.0,208052.11061876084
131068,442000.0,434438.13873297843
69739,127000.0,128573.70483759651
8543,272000.0,269339.1087724367
55194,384000.0,389968.93817462045
176534,591300.0,588877.2302675102
124373,447000.0,468827.64824264124
178604,317000.0,331750.36031841533
3015,257000.0,253976.86083770695
27372,332000.0,336154.98036853375
76175,397000.0,389558.7652959821
153810,282000.0,277126.2210369186
46146,675000.0,677279.3499826223
70281,547000.0,544443.1300696809
84266,590000.0,586827.3055421148
110560,881888.0,859005.4177014035
73159,982000.0,993829.6762016036
99694,752000.0,755176.6989128405
20118,342000.0,356065.44203000335
14988,543000.0,542936.3300060276
102862,526900.0,537038.5974728541
12382,952000.0,956537.6097877495
91690,232000.0,233864.45347547572
139227,232000.0,230235.5547275611
12868,717000.0,736923.2311724972
75131,505900.0,505030.50301999005
14767,377000.0,377028.9717454587
112399,377000.0,375559.9969135415
30060,422000.0,428566.2389229921
145797,849800.0,865072.2714362126
114639,677000.0,684095.7454624991
131090,172000.0,172933.47178162716
50174,790000.0,797604.6679877265
87670,511500.0,507687.6979990942
48648,522000.0,523235.15325783583
126423,506800.0,491631.26126116136
178292,555260.0,553748.2865402828
24960,650000.0,633844.8012463029
108562,347000.0,353869.4569026186
51527,497000.0,486175.2326508557
160613,797000.0,784694.1062804429
8237,282000.0,287215.55554111715
85076,1702000.0,1618985.2030662503
61419,403620.0,406693.5513275055
99947,897000.0,867103.5143189431
119185,217000.0,216070.04605126387
170739,297000.0,296765.40567561897
23074,650800.0,639736.0716061469
96839,237000.0,242822.2127777639
46518,2114000.0,2072283.5687704477
184112,371000.0,373859.80426732975
77548,382000.0,376974.9853026228
20420,302000.0,299634.31132105866
186247,32000.0,34407.22558790055
5113,207000.0,207058.465340425
158621,177000.0,175510.55533712244
146853,647000.0,650547.2315914481
71347,478800.0,474957.8666990635
106969,240000.0,238156.3139438756
15539,597000.0,589262.5270006584
28272,915800.0,882661.9352266873
143435,162000.0,161801.03676398483
23269,272000.0,272053.05655398866
9440,496800.0,493281.8219268252
168479,847000.0,842898.1805793862
60949,247000.0,242080.3393320426
112831,897000.0,869133.6348374975
154684,284000.0,281100.6153604961
153923,920888.0,930285.2636806852
132874,747000.0,743370.3100884977
173435,197000.0,198103.47089516788
24031,543000.0,555836.9698302442
508,122000.0,123229.40648092882
38982,322000.0,317579.97776553826
151614,432000.0,438171.31456903403
166520,500800.0,513360.9792934617
48848,532000.0,532039.4710541514
138844,342000.0,344173.9397416138
138870,1991200.0,1921651.491027135
186215,642000.0,638048.517695458
1690,432000.0,425605.0611658042
96357,367500.0,367631.9967085889
157643,237000.0,232147.3062661073
176436,452000.0,456186.1015378119
131097,83000.0,86707.88167956291
153239,347000.0,341519.2116261567
92992,382000.0,385566.3715399706
68886,232000.0,225558.05871464466
148493,397000.0,398759.0463053161
153930,944888.0,953861.949908207
60076,340800.0,337390.5235117164
99669,670500.0,671352.9405501204
123626,157000.0,159305.99164563377
91896,212000.0,214847.7912509656
49629,317000.0,323974.00000368874
27700,252000.0,248684.77293698402
44131,781800.0,774689.8210364023
108889,260170.0,272060.77906452154
7642,622000.0,615556.6239213371
125990,362000.0,340993.99059124204
51696,352000.0,344332.6137560469
180658,562000.0,559664.9660554763
71624,1152000.0,1139601.5101515853
20312,769000.0,766833.742914648
110537,1047000.0,1034273.8231698589
184640,372000.0,376496.72682603396
92487,352300.0,352560.4461193468
77764,572000.0,571620.593017525
136640,1802000.0,1779903.184359249
159673,467000.0,469936.5148563899
143486,515300.0,519774.9681650832
116130,290800.0,286529.7547200631
52523,497000.0,488775.011175007
24300,332000.0,328043.9799382666
66367,337000.0,332971.19537644484
90947,487800.0,483030.6074627885
57306,67000.0,68003.12333922248
23126,1698505.0,1650131.377934376
23873,631000.0,639162.3398762868
79000,302000.0,303759.3297124031
14575,557000.0,562265.7899591475
62767,336500.0,343180.1718586412
82342,152000.0,148118.3422862336
59892,1723000.0,1691606.615517175
183488,402000.0,402203.81239875365
45966,345500.0,352441.7226810036
125375,997000.0,991316.3417350822
50971,893000.0,899289.473851332
182097,1146000.0,1129836.6552661285
25710,302000.0,295532.4511081476
95416,509780.0,511303.247276801
27306,482000.0,475647.94034900656
2810,552000.0,553516.6917178639
164533,665800.0,663551.2942473079
114828,872919.0,871136.58797213
140891,597000.0,600530.3410668388
51150,252000.0,254252.85572970886
179280,802000.0,826080.3005024424
103005,1025000.0,1037752.831697837
128099,470160.0,457660.5690861792
30497,412000.0,413322.59848268505
45889,417000.0,414673.41703733185
97370,357300.0,356768.1992550174
50582,142000.0,141826.09305418853
32918,484400.0,479291.49671923637
152773,404150.0,403756.8263482177
127400,573000.0,583430.1390575563
62728,352000.0,356649.8342072641
86663,567000.0,574729.9041755445
178913,1187000.0,1171566.6288498677
132100,532000.0,537740.9758013248
70834,785888.0,789849.6349000693
16820,563000.0,554947.5939179853
146820,559000.0,552469.8066549608
157853,317000.0,314927.6072179342
6029,317000.0,324833.22232057975
78339,437000.0,437254.77362918324
